일시,실효습도
20180420,33.0387
20180421,31.54596
20180422,32.957322000000005
20180423,38.674077000000004
20180424,43.179609000000006
20180425,44.69360400000001
20180426,53.872077
20180427,56.17049700000001
20180428,43.53018
20180429,38.161893
20180430,42.754038
20180501,44.078123999999995
20180502,46.808832
20180503,50.364432
20180504,56.75512500000001
20180505,58.04975400000001
20180506,57.95161200000001
20180507,48.388569
20180508,46.049997000000005
20180509,49.916022
20180510,56.10628200000001
20180511,47.430654
20180512,48.347499
20180513,53.196045
20180514,59.537292
20180515,60.230052
20180516,67.170774
20180517,64.67373
20180518,63.286104
20180519,63.23014500000001
20180520,68.469513
20180521,60.77570700000001
20180522,50.689274999999995
20180523,39.326162999999994
20180524,39.237312
20180525,45.71038200000001
20180526,50.094963
20180527,42.62131200000001
20180528,40.003254
20180529,41.824899
20180530,44.463264
20180531,46.29008699999999
20180601,49.444722000000006
20180602,52.497794999999996
20180603,48.134832
20180604,42.458462999999995
20180605,39.193665
20180606,38.921637000000004
20180607,41.522589
20180608,47.330310000000004
20180609,50.508318
20180610,53.969337
20180611,54.989529
20180612,53.57443500000001
20180613,52.00197000000001
20180614,53.712147
20180615,55.439634
20180616,54.41911200000001
20180617,54.48896700000002
20180618,54.36725700000001
20180619,49.98294900000001
20180620,50.252312999999994
20180621,51.946593000000014
20180622,48.786543
20180623,49.811208
20180624,49.410924
20180625,45.51423300000001
20180626,45.623439000000005
20180627,51.747027
20180628,58.368362999999995
20180629,62.123445000000004
20180630,70.312464
20180701,69.417558
20180702,70.939602
20180703,70.229892
20180704,71.698848
20180705,71.756424
20180706,66.129654
20180707,57.28756200000001
20180708,53.663205000000005
20180709,52.76121900000001
20180710,50.49740400000001
20180711,53.339007
20180712,60.105282
20180713,69.18110399999999
20180714,68.57200800000001
20180715,65.344728
20180716,62.45256899999999
20180717,58.693664999999996
20180718,56.458494
20180719,55.443543000000005
20180720,53.885568
20180721,53.283048
20180722,51.191328000000006
20180723,49.234254
20180724,47.149005
20180725,45.30273900000001
20180726,46.702434
20180727,50.452299
20180728,54.571082999999994
20180729,56.233062000000004
20180730,55.584987000000005
20180731,53.558924999999995
20180801,50.810415
20180802,43.46188200000001
20180803,43.614519
20180804,44.857188
20180805,47.610594000000006
20180806,49.386768
20180807,51.804942000000004
20180808,54.974604
20180809,58.059608999999995
20180810,56.55749699999999
20180811,54.12998400000001
20180812,54.572559000000005
20180813,55.130627999999994
20180814,50.257388999999996
20180815,49.982054999999995
20180816,51.16218000000001
20180817,49.684194000000005
20180818,44.789958
20180819,42.644658
20180820,39.425808
20180821,39.608382
20180822,43.423083000000005
20180823,47.17566300000001
20180824,51.924279000000006
20180825,55.24701000000001
20180826,53.3664
20180827,59.60673
20180828,66.479472
20180829,64.17954
20180830,68.36942700000002
20180831,72.52543200000001
20180901,68.88634200000001
20180902,62.82833400000001
20180903,59.041779000000005
20180904,54.672852000000006
20180905,53.79226500000001
20180906,56.423846999999995
20180907,60.624048
20180908,53.56370400000001
20180909,50.30619000000001
20180910,48.21718500000001
20180911,42.389193
20180912,40.90155
20180913,42.09040500000001
20180914,43.94795700000001
20180915,47.04279000000001
