지점,지점명,일시,평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa)
108,서울,2017-09-01,13.3,31,1237,56,15.3
108,서울,2017-09-02,14.8,33,1421,59,16.9
108,서울,2017-09-03,16.2,36,1613,64,18.4
108,서울,2017-09-04,13.7,28,1442,53.8,15.8
108,서울,2017-09-05,14.3,51,1551,62.4,16.4
108,서울,2017-09-06,16.1,61,1306,75.5,18.3
108,서울,2017-09-07,17.1,52,1421,73.3,19.7
108,서울,2017-09-08,17,30,1509,67.5,19.6
108,서울,2017-09-09,17.6,43,1737,70.1,20.1
108,서울,2017-09-10,18,56,1530,74.3,20.7
108,서울,2017-09-11,17.3,59,1628,79.8,19.8
108,서울,2017-09-12,12.8,29,1916,58.6,15.2
108,서울,2017-09-13,9.7,30,1400,49.3,12.1
108,서울,2017-09-14,10.5,28,1248,48.8,12.7
108,서울,2017-09-15,10.7,33,1521,48.4,13
108,서울,2017-09-16,11.2,39,1348,50.9,13.3
108,서울,2017-09-17,12.2,34,1416,51.3,14.2
108,서울,2017-09-18,14,36,1359,62.8,16.1
108,서울,2017-09-19,18.7,66,941,79.1,21.7
108,서울,2017-09-20,7.9,29,1532,48.9,10.8
108,서울,2017-09-21,10.5,29,1508,57.3,12.8
108,서울,2017-09-22,12.3,34,1531,60.8,14.4
108,서울,2017-09-23,15.7,40,1839,69.8,17.9
108,서울,2017-09-24,16.8,53,1427,71.5,19.2
108,서울,2017-09-25,14,35,1404,58,16
108,서울,2017-09-26,15.5,36,1349,57,17.6
108,서울,2017-09-27,16,53,617,66.4,18.3
108,서울,2017-09-28,7.1,20,1159,49.1,10.6
108,서울,2017-09-29,2.6,20,918,39.3,7.5
108,서울,2017-09-30,12.9,49,1443,64.9,15.2
108,서울,2017-10-01,13.4,50,1235,74.8,15.4
108,서울,2017-10-02,13.6,34,1515,62.3,15.6
108,서울,2017-10-03,6.8,41,926,49.8,10.1
108,서울,2017-10-04,5.5,32,1404,48.5,9.1
108,서울,2017-10-05,9.6,43,1306,56.4,12
108,서울,2017-10-06,12.2,44,1055,66.4,14.3
108,서울,2017-10-07,15.2,42,1458,67.6,17.3
108,서울,2017-10-08,16.2,42,1324,66.9,18.4
108,서울,2017-10-09,15.4,34,1719,66,17.6
108,서울,2017-10-10,17,56,1346,76.9,19.4
108,서울,2017-10-11,11.3,55,1715,77.1,13.8
108,서울,2017-10-12,5.9,,,71,9.3
