현장안전센터거리,시간단위기온,시간단위풍속,시간단위가시거리,lon,lat,실효습도,가스사용량(KWh),전기사용량(KWh),화재발생시각,인명피해확률,회귀예측,지수,등급,인덱스
2,-1.1,1.7,1383,127.1209179,37.4901618,44.667753,537.1,537.1,주간,5.365600398,80.14922609,20.73761605,2등급,105
1,-1.2,3.1,1609,127.0211328,37.5830118,44.667753,2853.166667,2853.166667,주간,7.740269772,76.51236226,24.33570062,2등급,106
2,-1.3,3,1850,126.952979,37.4854547,44.667753,12550.75,12550.75,주간,7.414330653,77.59993395,23.98648722,2등급,107
2,-1,3.5,1954,126.8613261,37.51872,44.667753,64430.83333,64430.83333,주간,6.555942281,78.29852109,22.65657929,2등급,108
0,0,4,1793,126.995524,37.5341612,44.667753,4880.583333,4880.583333,주간,10.58702459,72.88816348,27.77892689,2등급,109
2,0.9,4.4,1774,126.9700898,37.5667206,44.667753,1109.8,1109.8,주간,8.177808134,76.27535574,24.97529228,2등급,110
2,0.9,4.4,1774,126.9647493,37.5331835,44.667753,39994.5,39994.5,주간,6.938090627,77.44207891,23.17973602,2등급,111
2,0.6,4.2,2000,126.9982482,37.4987812,44.667753,4102.333333,4102.333333,주간,9.180240935,75.40805414,26.31091229,2등급,112
2,-2.5,2.9,2000,126.9103724,37.5860326,44.667753,4252.916667,4252.916667,저녁,6.583396551,73.50845652,21.99852993,2등급,113
1,-4.1,3.9,2000,126.8318737,37.5293984,44.667753,3379.333333,3379.333333,저녁,8.014176187,71.59852012,23.95418867,2등급,114
1,-4.7,3.9,2000,126.9149557,37.5562771,44.667753,19077.91667,19077.91667,저녁,7.463275689,72.26524919,23.22359743,2등급,115
1,-5.7,3.8,2000,126.9806972,37.5726466,44.667753,2794.833333,2794.833333,밤,86.2655269,11.54592172,31.55970565,2등급,116
3,-6.1,2.7,2000,126.9811331,37.6138378,40.911012,1487,1487,새벽,11.67949327,78.78501012,30.33428746,2등급,117
1,-6.1,2.7,2000,126.893292,37.4860146,40.911012,74469.25,74469.25,새벽,11.55430916,77.09180105,29.84530957,2등급,118
3,-7.2,1.1,2000,126.8651857,37.5426274,40.911012,2098.625,2098.625,새벽,10.57428328,79.90466459,29.06775806,2등급,119
3,-6.9,1.5,838,126.9698161,37.4798554,40.911012,4324,4324,주간,3.095747007,86.49123395,16.3632203,3등급,120
2,-7,1.3,229,127.0493114,37.5146079,40.911012,3743.416667,3743.416667,주간,2.354552466,87.7505832,14.37405135,3등급,121
1,-5.4,2.3,1935,127.0593556,37.5946738,40.911012,25685.41667,25685.41667,주간,8.382099524,76.81746399,25.37501977,2등급,122
1,-3.7,2.5,1991,127.0742394,37.6643006,40.911012,1471.083333,1471.083333,주간,9.84497583,75.15922771,27.20185251,2등급,123
1,-4.1,4.3,2000,126.9903772,37.5644741,40.911012,94785,94785,저녁,5.842421125,73.68997976,20.74916612,2등급,124
2,-4.1,4.3,2000,126.838551,37.5165219,40.911012,5804.166667,5804.166667,저녁,7.355304679,72.96164715,23.16581845,2등급,125
1,-7.7,4.4,2000,127.093373,37.6015638,40.911012,290523.1667,290523.1667,저녁,2.354427003,80.6908222,13.78334686,3등급,126
3,-8.1,2.5,1987,127.1475708,37.5327148,40.911012,2512.222222,2512.222222,밤,71.90528048,16.40706626,34.34755743,2등급,127
3,-8.6,2.2,2000,126.828107,37.5412461,40.911012,308.9,308.9,밤,71.75406351,16.57723968,34.48890124,2등급,128
2,-8.9,2.3,2000,127.0491761,37.5698758,34.785759,66457.66667,66457.66667,새벽,10.70448169,79.13281706,29.1045665,2등급,129
1,-8.9,2.3,2000,127.0555697,37.5775594,34.785759,1770.75,1770.75,새벽,15.97306907,75.25039727,34.66958022,2등급,130
1,-8.9,2.3,2000,126.9997254,37.5721397,34.785759,4515.833333,4515.833333,새벽,15.80211311,75.33276263,34.50241783,2등급,131
1,-9.9,3.4,2000,126.8970043,37.512143,34.785759,16114.5,16114.5,주간,10.08974308,76.39843892,27.76401665,2등급,132
3,-9.9,3.4,2000,127.1290725,37.4841924,34.785759,2538.666667,2538.666667,주간,7.966711303,79.8741188,25.22566243,2등급,133
2,-10.5,3.6,2000,127.0494731,37.4788705,34.785759,424.9166667,424.9166667,주간,9.368010289,77.97206978,27.02671182,2등급,134
2,-10.5,3.6,2000,127.136221,37.5435093,34.785759,2489.75,2489.75,주간,9.2881155,78.03402446,26.92190617,2등급,135
3,-10.5,3.6,2000,127.0316689,37.6447671,34.785759,3051.416667,3051.416667,주간,8.000314435,79.99238633,25.29751456,2등급,136
3,-10.5,3.6,2000,126.9743066,37.4771216,34.785759,2207.333333,2207.333333,주간,8.028761121,79.96705987,25.33843763,2등급,137
2,-10.3,4.4,2000,127.1209819,37.5276938,34.785759,74146.83333,74146.83333,주간,7.2062113,79.74757841,23.97244044,2등급,138
2,-8.3,3.7,1987,127.0832354,37.5643822,34.785759,246.25,246.25,주간,9.521337148,77.2687632,27.12382616,2등급,139
1,-6.7,4.6,1949,127.0521955,37.6101526,34.785759,1863.833333,1863.833333,주간,11.36602793,74.62924391,29.12452696,2등급,140
3,-6.5,4.5,2000,126.9636989,37.4739354,34.785759,7327.416667,7327.416667,주간,8.547101467,78.39836361,25.88587972,2등급,141
3,-6.5,4.5,2000,126.8563437,37.5303164,34.785759,4847.666667,4847.666667,주간,8.636137549,78.3239595,26.00800814,2등급,142
2,-7.8,3,2000,126.8928384,37.574994,34.785759,36709.33333,36709.33333,저녁,6.297569004,74.94005503,21.72418394,2등급,143
2,-7.8,3,2000,126.9231081,37.6159562,34.785759,7880,7880,저녁,7.122765918,74.07503997,22.96996234,2등급,144
1,-8.2,4.1,2000,126.9483359,37.5390722,34.785759,1444.75,1444.75,저녁,9.000785667,71.56042377,25.379126,2등급,145
1,-8.3,3,2000,126.8154224,37.5772336,34.785759,5508.916667,5508.916667,저녁,8.310580801,72.22546881,24.49970601,2등급,146
3,-8.8,3.5,2000,126.9319657,37.5601193,34.785759,8227.5,8227.5,밤,76.70848742,15.51777098,34.50137301,2등급,147
1,-9.4,3.3,2000,126.9262986,37.5566969,32.908029,4283.083333,4283.083333,새벽,16.99687633,74.79210924,35.65434379,1등급,148
